first_area_id,second_area_id,verdict,reason,evidence_url
263,1223,needs_geography,Waterfall is generic under Unknown with no route or location overlap.,
353,356,needs_geography,JBMF and JBMF Area share an acronym but lack route/location evidence.,
782,1311,needs_geography,Eldorado and El Dorado are generic names under Unknown with no route overlap.,
873,1669,needs_geography,Mammoth and Mammoth Area have unrelated routes and no location evidence.,
1043,1205,needs_geography,Wall Rock is generic under Unknown with no source geography.,
1276,1833,distinct_areas,Stoneface Boulder may be an individual rock within Stoneface; location needs review.,
1340,1413,needs_geography,Chasm is a generic name under Unknown with no shared routes.,
1515,1837,distinct_areas,Temple and the temple have different sport and hard boulder inventories under Unknown.,
1947,1949,needs_geography,crabhouse candidate areas contain only generic placeholder route names.,
3510,11290,route_overlap_only,Lion’s Head is broad; B-Movie Wall is the specific wall for overlapping routes.,
3611,6112,route_overlap_only,Squamish and Vancouver’s Sully’s Hangout are geographically separate.,
3786,6754,route_overlap_only,Sainte-Adèle is broad; La jungle is a distinct specific crag.,
3985,3989,route_overlap_only,Cave Creek and Candy Mountain are separate Arkansas crags; shared routes belong to Candy Mountain.,https://www.mountainproject.com/area/105901033/sams-throne-surroundings
4023,4035,route_overlap_only,Bishop and Mammoth Lakes Rock Creek are separate regions; broad climb records need placement review.,
4025,4036,route_overlap_only,Yosemite Valley and Tuolumne Meadows are separate Yosemite regions.,
4674,4683,route_overlap_only,NC 221 is broad; The Dump is a specific boulder area.,
4796,9624,route_overlap_only,MFRP is broad; Cooper’s Cove is a distinct specific crag.,
5308,5325,route_overlap_only,Symplegades and Snake Valley are separate Kalymnos crags; duplicated routes belong to Snake Valley.,https://climbkalymnos.com/snake-valley-a-new-crag-on-kalymnos-with-afternoon-shade/
5379,5388,route_overlap_only,Douvari and Rocspot are separate Leonidio crags; overlapping routes belong at Douvari.,https://climbinleonidio.com/crags/douvari/
5961,8217,distinct_areas,Grand Wall Boulders is separate from the roped Grand Wall.,
5962,8219,distinct_areas,Apron Boulders is a boulder field separate from the roped Apron wall.,
6163,6170,distinct_areas,The Shire and Shire Boulders are different Revelstoke sectors.,
6190,6191,distinct_areas,Little Mountain Boulders and Little Mountain are separate discipline sectors pending more detailed location evidence.,
6271,6272,route_overlap_only,Cal-Cheak and Creekside Boulder are distinct Whistler crags; duplicated named boulders need climb-ID review.,https://www.mountainproject.com/area/105958219/sea-to-sky-squamish-to-whistler
6536,6541,distinct_areas,Old Goat Boulders and Old Goat Crag are different boulder and roped sectors.,
6810,6818,route_overlap_only,Land of Confusion and Polly’s Cove are separate areas; shared climb records need placement review.,https://www.thecrag.com/en/climbing/canada/nova-scotia/south-shore/peggys-cove-area/area/3808759104
7163,7166,distinct_areas,Joe’s Valley Right Fork and Left Fork are separate valleys.,
7299,7314,distinct_areas,Red wall boulders are a field beside the roped Smith Rock Red Wall.,
7472,7488,distinct_areas,JY Boulders and JY Crag are distinct boulder and roped sectors.,
8056,8059,route_overlap_only,Ride the Lightning and Heartbreak Hotel are separate boulders with some duplicate route records.,
8082,8083,distinct_areas,Courtyard Boulders and The Courtyard have different physical route inventories.,
8594,8598,route_overlap_only,Syringa and Pathfinder Boulders are separate Arrow Lakes sectors.,
9437,9438,distinct_areas,Maiden boulders and The Maiden are separate boulder field and roped rock.,
