openbeta_path,expected_wrong_area_path,expected_parent_path,expected_new_routes,evidence,confidence,parent_existing_area_id,source_parent_segment_count,override_parent_source_path
Canada > British Columbia > Kootenays West > Kokanee Lake Boulders > Wonderland Boulder,North America > Canada > British Columbia > Revelstoke > Hardman Boulders > Wonderland,North America > Canada > British Columbia > West Kootenay > Kokanee Lake,4,Three accepted routes share Kokanee Lake GPS and match original Kokanee climbs; Revelstoke Wonderland is a separate crag,high,3686,2,
United States > Arizona > Central Arizona > Christopher Creek Gorge > Waterfall Area,North America > United States > Arizona > Northern Arizona > Sedona > The Waterfall,North America > United States > Arizona > Central Arizona,8,Source GPS is at least 92.8 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > California > High Desert > Lucerne Valley Area > Chimney Rock,North America > United States > California > Joshua Tree > Hidden Valley Campground > Chimney Rock,North America > United States > California > High Desert > Lucerne Valley Area,14,Lucerne Valley is distinct from Joshua Tree Hidden Valley,high,,,
United States > California > Lake Tahoe > West Shore > Indian Rock,North America > United States > California > San Francisco Bay Area > Berkeley > Indian Rock,North America > United States > California > Tahoe > West Shore,1,West Shore Indian Rock is distinct from Berkeley Indian Rock,high,,,
United States > California > Redwood Coast > Castle Rock > North Face,North America > United States > California > San Francisco Bay Area > Castle Rock > North Face,North America > United States > California > Redwood Coast,9,Redwood Coast Castle Rock is separate from Bay Area Castle Rock; create Castle Rock first,high,,,
United States > California > Redwood Coast > Castle Rock > West Face,North America > United States > California > San Francisco Bay Area > Castle Rock > West Face,North America > United States > California > Redwood Coast,10,Redwood Coast Castle Rock is separate from Bay Area Castle Rock; create Castle Rock first,high,,,
United States > California > Redwood Coast > Cecilville Bluffs > 2. Warm-Up Wall,North America > United States > California > Sierra Eastside > Bishop > Owens River Gorge > Central Gorge > Warmup Wall,North America > United States > California > Redwood Coast > Cecilville Bluffs,5,Cecilville Bluffs is distinct from Bishop Owens River Gorge,high,,,
United States > California > Redwood Coast > Cold Springs > Split Rock,North America > United States > California > Tahoe > Donner Summit > Split Rock,North America > United States > California > Redwood Coast > Cold Springs,60,Redwood Coast Cold Springs is distinct from Tahoe Donner Summit,high,,,
United States > California > Redwood Coast > Five and Dime > Lower Five and Dime,North America > United States > California > Yosemite National Park > Yosemite Valley > Five and Dime > Lower Five and Dime,North America > United States > California > Redwood Coast,6,Redwood Coast Five and Dime is separate from Yosemite Five and Dime; create Five and Dime first,high,,,
United States > California > Redwood Coast > Five and Dime > Upper Five and Dime,North America > United States > California > Yosemite National Park > Yosemite Valley > Five and Dime > Upper Five and Dime,North America > United States > California > Redwood Coast,2,Redwood Coast Five and Dime is separate from Yosemite Five and Dime; create Five and Dime first,high,,,
United States > California > San Bernardino Mountains > Running Springs Area > Crow's Nest,North America > United States > California > Joshua Tree > Towers of Uncertainty > Crow's Nest,North America > United States > California > San Bernardino Mountains > Running Springs Area,3,Running Springs is distinct from Joshua Tree Towers of Uncertainty,high,,,
United States > California > San Francisco Bay Area > Coyote Hills > Castle Rock Boulder,North America > United States > California > San Francisco Bay Area > Castle Rock,North America > United States > California > San Francisco Bay Area > Coyote Hills,1,Coyote Hills Castle Rock Boulder is distinct from Castle Rock State Park area,high,,,
"United States > California > Sonora Pass Highway (108) > Burst Rock > Fun House, The",North America > United States > California > Sierra Eastside > Bishop > Owens River Gorge > Inner Gorge > The Fun House,North America > United States > California > Sonora Pass Highway (108) > Burst Rock,3,Burst Rock is distinct from Bishop Owens River Gorge,high,,,
United States > California > Sonora Pass Highway (108) > Donnell Reservoir > Atlantis,North America > United States > California > Joshua Tree > Lost Horse Area > Atlantis,North America > United States > California > Sonora Pass Highway (108) > Donnell Reservoir,3,Donnell Reservoir is distinct from Joshua Tree Lost Horse,high,,,
"United States > California > Sonora Pass Highway (108) > Knight's Ferry > Arena, The",North America > United States > California > Tahoe > The arena,North America > United States > California > Sonora Pass Highway (108) > Knight's Ferry,2,Knight's Ferry is distinct from Tahoe,high,,,
United States > California > Sonora Pass Highway (108) > Lyons Reservoir Road > Roadside Rocks,North America > United States > California > Joshua Tree > Roadside Rocks,North America > United States > California > Sonora Pass Highway (108) > Lyons Reservoir Road,10,Lyons Reservoir Road is distinct from Joshua Tree,high,,,
United States > California > Sonora Pass Highway (108) > Road 5N06 Area > Lost World,North America > United States > California > Tahoe > Lost World,North America > United States > California > Sonora Pass Highway (108) > Road 5N06 Area,3,Road 5N06 is distinct from Tahoe,high,,,
United States > Colorado > Boulder > Mount Sanitas > Red Rocks (Boulder),North America > United States > Colorado > Paradox Valley > Red Rocks,North America > United States > Colorado > Boulder,13,Source GPS is at least 353.5 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Colorado > Carbondale Area > Coal Creek Boulders > Sanctuary,North America > United States > Colorado > Rifle > The Sanctuary,North America > United States > Colorado > Carbondale Area,20,Source GPS is at least 67.5 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Colorado > Eagle/Vail/Minturn/Red Cliff > Hornsilver > Lower Tier,North America > United States > Colorado > Rifle > Lower Tier,North America > United States > Colorado > Eagle/Vail/Minturn/Red Cliff,4,Source GPS is at least 116.2 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Colorado > Grand Junction Area > Escalante Canyon > Gunnison Area,North America > United States > Colorado > Gunnison,North America > United States > Colorado > Grand Junction Area,2,Source GPS is at least 50.3 km from trusted routes in the selected original area; independent named region and crag path,medium_high,,,
United States > Colorado > Steamboat Springs > Cougar > Lower Tier,North America > United States > Colorado > Rifle > Lower Tier,North America > United States > Colorado > Steamboat Springs,3,Source GPS is at least 139.7 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Idaho > East Idaho > Teddy Bear Cove > 02. The Head Wall,North America > United States > Idaho > Central Idaho > The Fins > The Head Wall,North America > United States > Idaho > East Idaho > Teddy Bear Cove,20,Teddy Bear Cove is East Idaho; the matched Head Wall belongs to The Fins in Central Idaho,high,,,
"United States > Kentucky > Otter Creek > playground, The",North America > United States > Kentucky > Red River Gorge > PMRP > The Playground,North America > United States > Kentucky > Otter Creek,1,Source GPS is at least 205.6 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Montana > Northwest Region > Practice Rock,North America > United States > Montana > Southwest Region > Hyalite Canyon > Practice Rock,North America > United States > Montana > Northwest Region,4,Source GPS is at least 300.6 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Oregon > Southwest Oregon > Eagle Rock,North America > United States > Oregon > Central Oregon > Sisters > Eagle Rock,North America > United States > Oregon > Southwest Oregon,3,Southwest Oregon Eagle Rock is distinct from Central Oregon Sisters Eagle Rock,high,,,
United States > Oregon > Willamette Valley > Katsuk > North East face,North America > United States > Oregon > Central Oregon > Smith Rock > Northeast Face,North America > United States > Oregon > Willamette Valley,3,Katsuk is under Willamette Valley; Smith Rock is under Central Oregon; create Katsuk first,high,,,
United States > Utah > South Central Utah > Grand Staircase > Long Canyon,North America > United States > Utah > Southeast Utah > Moab > Long Canyon,North America > United States > Utah > South Central Utah,6,Source GPS is at least 159.4 km from trusted routes in the selected original area; independent named region and crag path,high,,,
"United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth > Roslyn > Jaws",North America > United States > Washington > Central-West Cascades & Seattle > Skykomish Valley > Gold Bar > Clearcut Boulders > Jaws,"North America > United States > Washington > Central-East Cascades, Wenatchee, & Leavenworth > Roslyn",3,Roslyn and Gold Bar are distinct Washington climbing regions,high,,,
United States > West Virginia > Southern WV > Bozoo > 09. White Wall,North America > United States > West Virginia > New River Gorge > Kaymoor > White Wall,North America > United States > West Virginia > Southern WV,5,Source GPS is at least 66.0 km from trusted routes in the selected original area; independent named region and crag path,high,,,
United States > Wyoming > Eastern Big Horns > Highway 14 Pinnacles > Coyote Rocks,North America > United States > Wyoming > Vedauwoo > Coyote Rocks,North America > United States > Wyoming > Eastern Big Horns,6,Source GPS is at least 427.9 km from trusted routes in the selected original area; independent named region and crag path,high,,,
"United States > Colorado > 10 Mile Canyon > Dome, The",North America > United States > Colorado > Boulder > Boulder Canyon > The Dome,North America > United States > Colorado > 10 Mile Canyon,11,10 Mile Canyon Dome is separate from Boulder Canyon Dome.,high,,,
