source_path,expected_area_id,expected_quality,target_area_id,evidence,source_url
United States > Kentucky > Red River Gorge > Bald Rock Fork Recreational Preserve (BRRP) > Chocolate Factory,124,ambiguous_anchor,7735,Two original Chocolate Factory areas were merged under BRRP; source path now names the canonical crag.,https://www.mountainproject.com/area/106229629/chocolate-factory
Canada > British Columbia > Sea to Sky (Squamish to Whistler) > Area 44 > The Pillary,8205,reviewed_area_hold,8205,Duplicate original Pillary IDs were merged and placed beneath Area 44.,https://www.mountainproject.com/area/108504059/the-pillary
Canada > British Columbia > Squamish > The Sanctuary > Sanitarium,9687,route_evidence_area_conflict,9687,Original Squamish-root Sanitarium was merged with the source-supported Sanctuary child.,https://quickdrawpublications.com/wp-content/uploads/updates/SS4_Updated.pdf
Canada > Ontario > Ontario South Bouldering and Rock > Lion's Head > Latvian Ledge Area,5811,route_evidence_area_conflict,5811,Duplicate Latvian Ledge under Scalphunter was folded into the sibling Latvian Ledge Area.,https://www.mountainproject.com/area/109084447/lions-head
"United States > West Virginia > New River Gorge, The > Meadow River Gorge > Upper Meadow",7621,route_evidence_area_conflict,7621,West Virginia root Upper Meadow was folded into Meadow River Gorge Upper Meadow.,https://www.mountainproject.com/area/106490004/meadow-river-gorge
United States > Wyoming > Lander Area > Wild Iris > Aspen Glade,7664,route_evidence_area_conflict,7664,Aspen Glade source and Aspen Glades original share all 18 route source paths and now one area ID.,https://www.mountainproject.com/area/105840796/wild-iris
Canada > British Columbia > Sea to Sky (Squamish to Whistler) > Rogues Gallery > Capone Wall,84,ambiguous_anchor,9712,Duplicate nested Capone Wall was merged into Rogue’s Gallery Capone Wall after moving Sanctuary to Halfway House.,https://www.mountainproject.com/area/106059545/rogues-gallery
United States > Nevada > Southern Nevada > Red Rocks > Willow Spring,NULL,unmaterialized_route_evidence_area_conflict,7068,Willow Spring and original Willow Springs are one Red Rocks area; sixteen accepted route identities in its original subtree prove the source crosswalk should name the original ID. Held route UUIDs remain held for identity review.,https://www.mountainproject.com/area/105731932/red-rocks
United States > Nevada > Southern Nevada > Red Rocks > White Rock Spring,NULL,unmaterialized_route_evidence_area_conflict,7081,"White Rock Spring and original White Rock Springs are the same Red Rocks area, with an accepted original route identity; align the otherwise-null source path to the original area ID.",https://www.mountainproject.com/area/105731932/red-rocks
"United States > West Virginia > New River Gorge, The > Summersville (Gauley River) Area > Whippoorwill",NULL,unmaterialized_route_evidence_area_conflict,7637,OpenBeta Whippoorwill and original Whipporwill are the same Summersville-area sector; three accepted original route identities corroborate and the original area is moved beneath Summersville.,https://www.mountainproject.com/area/105989762/summersville-gauley-river-area
