area_id,expected_old_parent_id,parent_source_path,parent_existing_area_id,evidence,confidence,source_url,expected_parent_path
7531,4523,United States > Washington > Central-West Cascades & Seattle > Skykomish Valley,,26 matched + 161 new; 33 original climbs at Treasury,high,https://www.mountainproject.com/route/119645528/sailor-crescent,North America > United States > Washington > Central-West Cascades & Seattle > Skykomish Valley
7493,4513,United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity,,95 matched + 381 new; 124 original climbs at Exit 38,high,https://www.mountainproject.com/area/108471684/north-bend-vicinity,North America > United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity
7496,4513,United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity,,9 new; 3 original climbs at Rattlesnake Lake,high,https://www.mountainproject.com/area/108471684/north-bend-vicinity,North America > United States > Washington > Central-West Cascades & Seattle > North Bend & Vicinity
4553,109,,4572,76 new + 1 original climb,high,https://www.mountainproject.com/area/106460904/spokane-area,North America > United States > Washington > Northeast Corner & Spokane > Spokane
4566,109,,4572,1 matched + 2 new; 1 original climb,high,https://www.mountainproject.com/area/106460904/spokane-area,North America > United States > Washington > Northeast Corner & Spokane > Spokane
4567,109,United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy,,122 new + 1 original climb,high,https://www.mountainproject.com/climbing-near-me/glacier-wa,North America > United States > Washington > Northwest Region > Darrington and Mountain Loop Hwy
6889,4023,United States > California > Sierra Eastside > Mammoth Lakes Area,,12 matched across subtree + 192 new; 4 original direct climbs,high,https://www.mountainproject.com/area/106064844/sherwin-plateau,North America > United States > California > Sierra Eastside > Mammoth Lakes Area
6922,4028,,13047,Donner Summit is within the I-80 climbing corridor.,high,https://www.mountainproject.com/area/classics/105733935/donner-summit,North America > United States > California > Tahoe > I-80 Corridor
6937,4028,,13034,Lover's Leap is within the Highway 50 corridor.,high,https://www.mountainproject.com/area/105733934/lovers-leap,North America > United States > California > Tahoe > Highway 50 Corridor
6969,4028,,13034,Sugarloaf is within the Highway 50 corridor.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > Highway 50 Corridor
6938,4028,,13034,Phantom Spires is within the Highway 50 corridor.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > Highway 50 Corridor
6928,4028,,13034,Loon Lake climbing is within the Highway 50 corridor.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > Highway 50 Corridor
6926,4028,,13022,Woodfords Canyon is on Carson Pass Highway 88 corridor.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > Carson Pass Highway (88)
6924,4028,,13022,Erratica is on Carson Pass Highway 88 corridor.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > Carson Pass Highway (88)
6932,4028,,13054,Pie Shop is in the South Shore Lake Tahoe area.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > South Shore
6936,4028,,13076,Bliss is in the West Shore Lake Tahoe area.,high,https://www.mountainproject.com/area/105708961/lake-tahoe,North America > United States > California > Tahoe > West Shore
6988,4032,,12938,Sheep Pass Area is in Central Joshua Tree.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Central Joshua Tree
7001,4032,,12938,Barker Dam Area is in Central Joshua Tree.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Central Joshua Tree
6992,4032,,12938,Echo Rock and the original Echo Tee Area are in Central Joshua Tree.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Central Joshua Tree
6994,4032,,12939,Real Hidden Valley is within Hidden Valley Area.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Hidden Valley Area
6995,4032,,12939,Hidden Valley Campground is within Hidden Valley Area.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Hidden Valley Area
6990,4032,,12939,The Outback is within Hidden Valley Area.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Hidden Valley Area
6993,4032,,12939,Roadside Rocks are within Hidden Valley Area.,high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park,North America > United States > California > Joshua Tree > Hidden Valley Area
