duplicate_area_id,survivor_area_id,duplicate_name,survivor_name,survivor_display_name,survivor_new_parent_area_id,evidence,source_url
5987,5975,Powerline Boulders,The Powerline Boulders,Powerline Boulders,,"One Powerline Boulders area contains Forest, Talus, Emerging Dream and other sectors; seven duplicate original climbs; preserve the higher-use area ID.",https://quickdrawpublications.com/wp-content/uploads/page%20samples/SB4_Bouldering_Areas4.pdf
4554,4527,Newhalem,Newhalem,,,All three duplicate-area Newhalem climbs match named sport routes at the main Newhalem area; Ryan's Wall was originally Newhalem.,https://www.mountainproject.com/area/106116502/ryans-wall
9008,9010,Guides Rock,Guide's Rock,,,Guide(s) Rock siblings at Mount Cory share at least ten named routes; survivor has detailed child crags.,
7521,7519,Sasquatch Boulders,Sasquatch Boulders,,,Same-name Index Sasquatch Boulders siblings share route and geographic evidence.,https://www.mountainproject.com/area/108123669/bouldering-at-index
8197,8201,The Gym,The Gym,,,Same-name Cheakamus Canyon Gym siblings describe one topo and overlapping routes.,https://quickdrawpublications.com/wp-content/uploads/topos/Cheakamus_Gym.pdf
7255,7252,Simian Complex,Simian Complex,,,Simian Complex siblings share Natural Selection and close name/grade route aliases.,
4149,4090,The Bar,The Bar,,,The Bar siblings share Handlebar and identical parent region.,
8637,8634,Ladybird,Ladybird Boulders,,,Ladybird and Ladybird Boulders share both original routes under Norns.,
8609,8608,Grove Boulders,The Grove,,,The Grove and Grove Boulders have the same Arrow Lakes parent and overlapping route inventory.,https://westkootenaybouldering.ca/page/2/
3934,3915,Fort Amherst,Fort Amherst Boulders,,,Fort Amherst and Fort Amherst Boulders share Green Eggs and Ham at the same grade.,
5793,5787,The Curved Wall,The Curved Wall,,,Exact same-name Mt Nemo Curved Wall siblings; single physical wall.,
5936,5935,Whirlpool boulders,Whirlpool,,,Whirlpool and Whirlpool boulders are the same bouldering sector beneath Rapids Boulders.,
3802,3786,Sainte-Adèle,Sainte-Adèle,,,Exact same-name Sainte-Adèle siblings share La Gloire de mon père and retain Mont Sauvage child under survivor.,
7148,7145,Lookout Mtn,Lookout Mtn,,,Exact same-name Chattanooga Lookout Mtn siblings.,
9502,9501,Cotton Top Boulders,Cotton Top,,,Cotton Top and Cotton Top Boulders share Halfmoon Tilt and Where's Waldo boulders.,
6752,3823,Le Bloc À Julien,Le Bloc À Julien,,,Le Bloc À Julien child repeats parent name; parent has no direct climbs and retains separate Les Ptits Blocs Roses child.,
1958,1957,Pha Tang - Na Pha Daeng,Pha Tang - Na Pha Daeng,,,Exact same-name Pha Tang - Na Pha Daeng siblings under Laos.,
3201,3193,Hotton,Hotton,,,Exact same-name Hotton siblings under Belgium with route overlap.,
3194,3183,Mozet,Mozet,,,Exact same-name Mozet siblings under Belgium with route overlap.,
2404,2353,Vesterøya,Vesterøya,,,Exact same-name Vesterøya siblings under Norway.,
5146,5142,Festvåg,Festvåg,,,Exact same-name Festvåg siblings under Lofoten.,
2097,2107,Dolina Bedkowska,Dolina Będkowska,,,Dolina Bedkowska and Dolina Będkowska are the same Polish place with five exact route overlaps; retain local spelling.,
2178,2145,Przadki,Prządki,,,Przadki and Prządki differ only by Polish diacritic in same parent.,
2127,2113,Smolen,Smoleń,,,Smolen and Smoleń siblings share two named routes; retain local spelling.,
2988,2991,Colnisce,Čolnišče,,,Colnisce and Čolnišče are diacritic variants beneath Slovenia.,
5456,5453,Laboratori,Laboratori,,,Exact same-name Laboratori siblings under Margalef share a route.,
1900,477,Ostrężnik,Ostrężnik,,,Exact same-name Ostrężnik siblings under Unknown share four original routes.,
1763,219,Prze?om Bia?ki,Przełom Białki,,,Przełom Białki orthographic variants under Unknown share three original routes.,
4256,4263,LCC,Little Cottonwood,,,"LCC is Little Cottonwood Canyon; 13 shared named routes, survivor has specific Wasatch hierarchy.",https://www.mountainproject.com/area/105739277/little-cottonwood-canyon
4037,4026,Castle Rock State Park,Castle Rock,,,Castle Rock State Park and San Francisco Bay Castle Rock share ten named routes; survivor has detailed subareas.,https://www.mountainproject.com/area/105733890/castle-rock-and-sanborn-area
4044,4036,Tuolumne,Tuolumne Meadows,,,Tuolumne and Tuolumne Meadows share five named routes; move root area beneath Yosemite National Park branch.,
6883,4035,Rock Creek,Rock Creek,,,Two Rock Creek areas share named climbs; retain Mammoth Lakes placement supported by Mountain Project.,https://www.mountainproject.com/area/105817185/rock-creek
9593,7735,Chocolate Factory,Chocolate Factory,,,"Chocolate Factory is adjacent to Motherlode, with duplicate routes; retain sibling placement under BRRP.",https://www.mountainproject.com/area/106229629/chocolate-factory
5993,8207,Area 44,Area 44,,,Area 44 belongs beneath Brohm Lake; six exact duplicate routes and guidebook hierarchy corroborate.,https://quickdrawpublications.com/wp-content/uploads/page%20samples/SS4_Contents.pdf
4679,4680,Dixon School Road,Dixon School Road Boulders,,,Dixon School Road Boulders belong to Crowders Mountain; Venom and Atlas route duplicates corroborate.,https://carolinaclimbers.org/climbing-areas/dixonschool.html
6856,3946,kingston crag,Kingston crag,,,Kingston crag child repeats parent name; collapse container without changing route identity.,
9678,7995,Cave of Wonders,Cave of Wonders,,,Cave of Wonders child exactly repeats parent name; retain sibling sectors.,
7168,4250,Moe's Valley,Moe's Valley,,,Moe's Valley child repeats its parent; one same named/graded climb overlaps and the published area is singular.,https://www.mountainproject.com/area/106028834/moes-valley
8254,5982,The longhouse,The Longhouse,,,The Longhouse child repeats parent; Hunter-Gatherer route overlaps.,
