openbeta_prefix,existing_area_id,expected_old_parent_id,expected_planned_area_path,minimum_exact_route_overlaps,preserve_existing_parent,evidence,confidence,source_url
"United States > Washington > Central Region > Frenchman Coulee, AKA Vantage",4516,109,"North America > United States > Washington > Central Region > Frenchman Coulee, AKA Vantage",100,,"At least 137 unique original Vantage climbs have exact source names, types, and grades within one ordinal; Mountain Project treats Frenchman Coulee and Vantage as the same climbing area.",high,https://www.mountainproject.com/area/105792231/frenchman-coulee-vantage
United States > California > Lake Tahoe,4028,98,North America > United States > California > Lake Tahoe,180,,"At least 212 unique original Tahoe climbs have exact source names, types, and near grades; both names identify the Lake Tahoe region.",high,https://www.mountainproject.com/area/105798291/lake-tahoe
United States > California > Joshua Tree National Park,4032,98,North America > United States > California > Joshua Tree National Park,400,,"At least 498 unique original Joshua Tree climbs have exact source names, types, and near grades; both names identify the national park.",high,https://www.mountainproject.com/area/105720495/joshua-tree-national-park
United States > Alabama > Horse Pens 40,3966,94,North America > United States > Alabama > Horse Pens 40,150,,"At least 178 unique original hp 40 climbs have exact source names, types, and near grades; Horse Pens 40 is the same place.",high,https://www.mountainproject.com/area/105891750/horse-pens-40
United States > Nevada > Southern Nevada > Mount Charleston,4180,100,North America > United States > Nevada > Southern Nevada > Mount Charleston,65,,"At least 80 unique original Mt Charleston climbs have exact source names, types, and near grades; source Mount Charleston is the same mountain.",high,https://www.mountainproject.com/area/105732969/mount-charleston
United States > Utah > Southwest Utah > Saint George,4252,104,North America > United States > Utah > Southwest Utah > Saint George,150,,"At least 191 unique original St. George climbs have exact source names, types, and near grades; source Saint George is the same city region.",high,https://www.mountainproject.com/area/105716826/saint-george
Canada > British Columbia > Kootenays West,3622,84,North America > Canada > British Columbia > Kootenays West,400,,"At least 470 unique original West Kootenay climbs have exact source names, types, and near grades; source Kootenays West is the same geographic region.",high,https://www.mountainproject.com/area/105958798/kootenays-west
United States > Colorado > Boulder > Eldorado Canyon State Park,4423,108,North America > United States > Colorado > Boulder > Eldorado Canyon State Park,30,,"At least 40 unique original Eldorado Canyon climbs have exact source names, types, and near grades; source Eldorado Canyon State Park is the same canyon.",high,https://www.mountainproject.com/area/105744246/eldorado-canyon-state-park
United States > Colorado > Alpine Rock > RMNP - Rock,4410,108,North America > United States > Colorado > Alpine Rock > RMNP - Rock,70,True,"At least 81 original RMNP climbs have unique source name, type, and near-grade support. Alpine Rock and - Rock are activity headings; retain original RMNP geographic parent.",high,https://www.mountainproject.com/area/105744460/rmnp-rock
United States > Utah > Southwest Utah > Zion National Park,4260,104,North America > United States > Utah > Southwest Utah > Zion National Park,8,,Original Zion and Zion National Park are the same park; 11 original routes have unique source support and Mountain Project confirms the park hierarchy.,high,https://www.mountainproject.com/area/105716799/zion-national-park
